Course,Title,Instructor
EWRT 2,"Critical Reading, Writing and Thinking",Sarah Lisha
EWRT 2,"Critical Reading, Writing and Thinking",Luis Limcolioc
EWRT 2,"Critical Reading, Writing and Thinking",Charles Gray
EWRT 2,"Critical Reading, Writing and Thinking",Husne Jahan
EWRT 2,"Critical Reading, Writing and Thinking",Marc Coronado
EWRT 2H,"Critical Reading, Writing and Thinking - HONORS",Alex Giardino
EWRT 30,Introduction to Creative Writing,Alex Giardino
EWRT 30,Introduction to Creative Writing,Jennifer Penkethman
F/TV 1,Introduction to Cinematic Arts,Christina Wright
F/TV 1,Introduction to Cinematic Arts,Kristen Anderson
F/TV 1,Introduction to Cinematic Arts,Ingrid Schulz
F/TV 2A,History of Cinema (1895-1950),Christina Wright
F/TV 2B,History of Cinema (1950-Present),Kristen Anderson
F/TV 2B,History of Cinema (1950-Present),Christina Wright
F/TV 10,Introduction to Electronic Media,Joel Abramson
F/TV 75G,History of Animation (1900-Present),Mark Hamer
FREN 1,Elementary French (First Quarter),Loubna Hafid
GEO 1,Physical Geography,Purba Fernandez
GEO 1,Physical Geography,Sohini Dutt
GEO 4,Cultural Geography,Kerry Rohrmeier
GEO 10,World Regional Geography,Sohini Dutt
GEO 10,World Regional Geography,Eileen Pena
GEOL 10,Introductory Geology,Marek Cichanski
GEOL 10,Introductory Geology,Chris Dileonardo
GEOL 20,General Oceanography,Chris Dileonardo
GERM 1,Elementary German (First Quarter),Maike Ahrends
HIST 3A,World History from Prehistory to 750 CE,Greg Knittel
HIST 3A,World History from Prehistory to 750 CE,Raeann Ramsey
HIST 3B,World History from 750 to 1750 CE,Christopher Jackson
HIST 3B,World History from 750 to 1750 CE,Rashi Jackman
HIST 3BH,World History from 750 to 1750 CE - HONORS,Christopher Jackson
HIST 3C,World History from 1750 CE to the Present,Christopher Jackson
HIST 3C,World History from 1750 CE to the Present,George Edgar
HIST 3CH,World History from 1750 CE to the Present - HONORS,Christopher Jackson
HIST 6A,History of Western Civilization: Pre-History to 750 C.E.,Ben Kline
HIST 6C,History of Western Civilization: 1750 C.E. to Present,Ben Kline
HIST 9,Women in American History,Anne Hickling
HIST 17A,History of the United States to Early National Era,Carol Cini
HIST 17A,History of the United States to Early National Era,Mylinh Pham
HIST 17A,History of the United States to Early National Era,Greg Knittel
HIST 17AH,History of the United States to Early National Era - HONORS,Mylinh Pham
HIST 17B,History of the United States from 1800 to 1900,Mylinh Pham
HIST 17B,History of the United States from 1800 to 1900,Greg Knittel
HIST 17B,History of the United States from 1800 to 1900,Hai Nguyen
HIST 17B,History of the United States from 1800 to 1900,Christopher Jackson
HIST 17BH,History of the United States from 1800 to 1900 - HONORS,Mylinh Pham
HIST 17BH,History of the United States from 1800 to 1900 - HONORS,Christopher Jackson
HIST 17C,History of the United States from 1900 to the Present,Mylinh Pham
HIST 17C,History of the United States from 1900 to the Present,Carol Cini
HIST 17C,History of the United States from 1900 to the Present,Christopher Jackson
HIST 17C,History of the United States from 1900 to the Present,David Howard-Pitney
HIST 17C,History of the United States from 1900 to the Present,Raeann Ramsey
HIST 17C,History of the United States from 1900 to the Present,Hai Nguyen
HIST 17CH,History of the United States from 1900 to the Present - HONORS,Mylinh Pham
HIST 18A,African American History to 1865,Julie Keiffer-Lewis
HLTH 21,Contemporary Health Concerns,Alison Campbell
HLTH 21,Contemporary Health Concerns,Barbara Liechty
HNDI 1,Elementary Hindi (First Quarter),Nilu Gupta
HUMA 10,Human Sexuality,Fran Jackler
HUMA 10,Human Sexuality,Pauline Wethington
HUMA 10,Human Sexuality,Kevin Glapion
HUMA 10,Human Sexuality,Herminio Hernando
HUMA 10H,Human Sexuality - HONORS,Fran Jackler
HUMA 20,Life Skills for Higher Education,Melinda Hughes
HUMA 20,Life Skills for Higher Education,"JOPLIN-LIGHTFOOTE, NATASHA"
