CRN,Course,Sec,Seats,Title,Days,Times,Instructor,Loc,Class Info
21722,CIS 108,62Z,WL,"""Personal Computer Security Basics""",·······,TBA-TBA,Joseph Lam,ONLINE,OL 
27228,CIS 308,62Z,WL,"""Personal Computer Security Basics""",·······,TBA-TBA,Joseph Lam,ONLINE,OL 
27235,CIS 318A,04Z,Open,"""Introduction to Unix/Linux""",M·W····,06:00 PM-06:50 PM,Lalitha Krishnamurthy,ONLINE,OL 
26555,CIS 340,05Z,Open,"""Introduction to Programming in Python""",··W····,01:30 PM-02:20 PM,Anita Whitehill,ONLINE,OL 
27782,CIS 340,62Z,Open,"""Introduction to Programming in Python""",·······,TBA-TBA,Alexandre Stoykov,ONLINE,OL 
27780,CIS 369A,01Z,Open,"""Technical Support Fundamentals""",··W····,06:00 PM-06:50 PM,Luis Barreto,ONLINE,OL 
27778,CIS 369D,01Z,Open,"""System Administration and IT Infrastructure Services""",M······,06:00 PM-06:50 PM,Luis Barreto,ONLINE,OL 
27233,CIS 398,62Z,Open,"""Digital Image Editing Software (Photoshop)""",·······,TBA-TBA,Patricia Holmes,ONLINE,OL 
27234,CIS 399,99Z,Open,"""Office Software Applications""",·······,TBA-TBA,Patricia Holmes,ONLINE,OL 
25330,CLP 5,62Z,Open,"""College Major and Career Options""",·······,TBA-TBA,"JOPLIN-LIGHTFOOTE, NATASHA",ONLINE,OL 
25838,CLP 5,65Z,WL,"""College Major and Career Options""",·······,TBA-TBA,Yolanda Johnson,ONLINE,OL 
26509,CLP 7,01Z,Open,"""Self-Assessment""",··W····,09:30 AM-10:20 AM,Robert Alexander,ONLINE,OL 
25835,CLP 7,62Z,WL,"""Self-Assessment""",·······,TBA-TBA,Pauline Wethington,ONLINE,OL 
24246,COMM 1,01Z,Open,"""Public Speaking""",M·W····,07:30 AM-09:45 AM,Joel Sakakihara,ONLINE,OL 
24358,COMM 1,51Z,WL,"""Public Speaking""",M·W····,06:30 PM-08:45 PM,Stephen Hinerman,ONLINE,$0OL Download Syllabus for COMM 1 51Z 
24353,COMM 1,52Z,Open,"""Public Speaking""",·······,TBA-TBA,Alex Kramer,ONLINE,OL 
24357,COMM 1,53Z,Open,"""Public Speaking""",·······,TBA-TBA,Nick Chivers,ONLINE,$0OL Download Syllabus for COMM 1 53Z 
24362,COMM 1,54Z,Open,"""Public Speaking""",·······,TBA-TBA,Thalia Bobadilla,ONLINE,$0OL 
24369,COMM 1,55Z,WL,"""Public Speaking""",·······,TBA-TBA,James Ahern,ONLINE,$0OL Download Syllabus for COMM 1 55Z 
25456,COMM 1,56Z,Open,"""Public Speaking""",·······,TBA-TBA,Royce Cano,ONLINE,$0OL Download Syllabus for COMM 1 56Z 
24350,COMM 1,57Z,Open,"""Public Speaking""",·······,TBA-TBA,Roxanne Cnudde,ONLINE,$0OL Download Syllabus for COMM 1 57Z 
24351,COMM 1,58Z,Open,"""Public Speaking""",·······,TBA-TBA,Tina Lim,ONLINE,$0OL Download Syllabus for COMM 1 58Z 
24351,COMM 1,58Z,Open,"""Public Speaking""",·······,TBA-TBA,Tina Lim,ONLINE,$0OL Download Syllabus for COMM 1 58Z 
25455,COMM 1,59Z,Open,"""Public Speaking""",·······,TBA-TBA,Nick Chivers,ONLINE,$0OL Download Syllabus for COMM 1 59Z 
26309,COMM 1,60Z,Open,"""Public Speaking""",·······,TBA-TBA,Roxanne Cnudde,ONLINE,$0OL Download Syllabus for COMM 1 60Z 
27361,COMM 1,62Z,Open,"""Public Speaking""",·······,TBA-TBA,Tina Lim,ONLINE,$0OL Download Syllabus for COMM 1 62Z 
27361,COMM 1,62Z,Open,"""Public Speaking""",·······,TBA-TBA,Tina Lim,ONLINE,$0OL Download Syllabus for COMM 1 62Z 
28016,COMM 1,63Z,Open,"""Public Speaking""",·······,TBA-TBA,Royce Cano,ONLINE,OL Download Syllabus for COMM 1 63Z 
24373,COMM 8,51Z,WL,"""Argumentation and Critical Inquiry in Oral Communication""",·······,TBA-TBA,Alex Kramer,ONLINE,$0OL 
24375,COMM 9,51Z,Open,"""Argumentation: Analysis of Oral and Written Communication""",·······,TBA-TBA,Brandon Gainer,ONLINE,$0OL Download Syllabus for COMM 9 51Z 
24376,COMM 10,50Z,WL,"""Fundamentals of Oral Communication""",·······,TBA-TBA,Stephanie Anderson,ONLINE,$0OL Download Syllabus for COMM 10 50Z 
24391,COMM 10,51Z,WL,"""Fundamentals of Oral Communication""",·······,TBA-TBA,Stephanie Anderson,ONLINE,$0OL Download Syllabus for COMM 10 51Z 
24394,COMM 15,51Z,Open,"""Critical Decision-Making in Groups""",·······,TBA-TBA,Brandon Gainer,ONLINE,OL Download Syllabus for COMM 15 51Z 
24396,COMM 16,50Z,Open,"""Interpersonal Communication""",·······,TBA-TBA,Nick Chivers,ONLINE,OL Download Syllabus for COMM 16 50Z 
27155,COMM 70,50Z,WL,"""Organizational Communication""",·······,TBA-TBA,Shagundeep Kaur,ONLINE,$0OL Download Syllabus for COMM 70 50Z 
27756,COUN 5,04Z,Open,"""Introduction to College""",····F··,10:30 AM-11:20 AM,Khoa Nguyen,ONLINE,OLLQ 
27757,COUN 5,05Z,Open,"""Introduction to College""",·······,TBA-TBA,Mark Fu,ONLINE,OLLQ 
27833,COUN 5,06Z,Open,"""Introduction to College""",·······,TBA-TBA,Tamara Goldie,ONLINE,OLLQ 
27834,COUN 5,07Z,Open,"""Introduction to College""",·······,TBA-TBA,Melinda Hughes,ONLINE,OLLQ 
23049,DANC 38A,50Z,Open,"""Appreciation of Dance""",·······,TBA-TBA,Vernon Gallegos,ONLINE,OL Download Syllabus for DANC 38A 50Z 
23049,DANC 38A,50Z,Open,"""Appreciation of Dance""",·······,TBA-TBA,Vernon Gallegos,ONLINE,OL Download Syllabus for DANC 38A 50Z 
22781,DMT 60A,62Z,Open,"""SolidWorks (Introduction)""",·······,TBA-TBA,Paul Klingman,ONLINE,OL 
26679,DMT 61A,62Z,Open,"""SolidWorks (Intermediate)""",·······,TBA-TBA,Paul Klingman,ONLINE,OL 
26630,DMT 62A,62Z,Open,"""SolidWorks: Top-Down Design and Advanced System Tools""",·······,TBA-TBA,Paul Klingman,ONLINE,OL 
00648,ECON 1,02Z,Open,"""Principles of Macroeconomics""",····F··,09:30 AM-01:20 PM,John Brady,ONLINE,OL 
24699,ECON 1,51Z,Open,"""Principles of Macroeconomics""",·······,TBA-TBA,Ravjeet Singh,ONLINE,OL 
27712,ECON 1,52Z,Full,"""Principles of Macroeconomics""",·······,TBA-TBA,Stephen Blohm,ONLINE,OLLQ 
00643,ECON 1,53Z,Open,"""Principles of Macroeconomics""",·······,TBA-TBA,Ninos Malek,ONLINE,OL 
28004,ECON 1,54Z,Full,"""Principles of Macroeconomics""",·······,TBA-TBA,Manisha Perera,ONLINE,OLLQ 
00646,ECON 1,55Z,Open,"""Principles of Macroeconomics""",·······,TBA-TBA,Stephen Zill,ONLINE,OL 
25851,ECON 1,57Z,Open,"""Principles of Macroeconomics""",·······,TBA-TBA,Monika Thomas,ONLINE,OL 
20265,ECON 1,62Z,Open,"""Principles of Macroeconomics""",·······,TBA-TBA,Don Uy-Barreta,ONLINE,OL 
28007,ECON 1H,55Z,Open,"""Principles of Macroeconomics - HONORS""",·······,TBA-TBA,Stephen Zill,ONLINE,OL 
25248,ECON 2,50Z,Open,"""Principles of Microeconomics""",·······,TBA-TBA,Ravjeet Singh,ONLINE,$LOL 
00654,ECON 2,51Z,Open,"""Principles of Microeconomics""",·······,TBA-TBA,Monika Thomas,ONLINE,OL 
00655,ECON 2,52Z,Open,"""Principles of Microeconomics""",·······,TBA-TBA,Ravjeet Singh,ONLINE,OL 
00657,ECON 2,53Z,Open,"""Principles of Microeconomics""",·······,TBA-TBA,Don Uy-Barreta,ONLINE,OL 
27705,ECON 2,54Z,Open,"""Principles of Microeconomics""",·······,TBA-TBA,Manisha Perera,ONLINE,OL 
27708,ECON 2,55Z,Open,"""Principles of Microeconomics""",·······,TBA-TBA,Triyakshana Seshadri,ONLINE,OLLQ 
26426,ECON 2,56Z,Open,"""Principles of Microeconomics""",·······,TBA-TBA,Ninos Malek,ONLINE,OL 
27032,ECON 2,57Z,Open,"""Principles of Microeconomics""",·······,TBA-TBA,Stephen Blohm,ONLINE,OL 
27887,ECON 2H,52Z,Open,"""Principles of Microeconomics - HONORS""",·······,TBA-TBA,Ravjeet Singh,ONLINE,OL 
26430,ECON 3,50Z,Open,"""Environmental Economics""",·······,TBA-TBA,Monika Thomas,ONLINE,OL 
26425,ECON 5,50Z,Open,"""Behavioral Economics""",·······,TBA-TBA,Triyakshana Seshadri,ONLINE,OL 
26803,EDAC 233,03Z,Open,"""Professional Conduct""",··W····,04:00 PM-06:50 PM,Monica De Carvalho,ONLINE,OL 
26805,EDAC 233,04Z,Open,"""Professional Conduct""",··W····,04:00 PM-06:50 PM,"BENNETT, MARY",ONLINE,OL 
24856,EDAC 240,55Z,Open,"""Assistive Technology Access Evaluation""",·······,TBA-TBA,Sridevi Lakshmanan,ONLINE,OL Download Syllabus for EDAC 240 55Z 
24857,EDAC 290X,55Z,Open,"""Assistive Technology Access Practice""",·······,TBA-TBA,Sridevi Lakshmanan,ONLINE,OL Download Syllabus for EDAC 290X 55Z 
27596,EDUC 46,13Z,Open,"""Mathematics for Elementary Education""",·T·R···,04:00 PM-06:15 PM,Reza Shariatmadari,ONLINE,OL 
26814,ELIT 10,02Z,Open,"""Introduction to Fiction""",M·W····,10:30 AM-12:20 PM,Deborah Garfinkle,ONLINE,OL Download Syllabus for ELIT 10 02Z 
26038,ELIT 17,50Z,Open,"""Introduction to Shakespeare""",·······,TBA-TBA,Julie Pesano,ONLINE,OL Download Syllabus for ELIT 17 50Z 
27977,ELIT 17H,50Z,Open,"""Introduction to Shakespeare - HONORS""",·······,TBA-TBA,Julie Pesano,ONLINE,OL Download Syllabus for ELIT 17H 50Z 
25464,ELIT 21,50Z,Open,"""Women in Literature""",·······,TBA-TBA,Francesca Caparas,ONLINE,$LOL 
24915,ELIT 22,50Z,Open,"""Mythology and Folklore""",·······,TBA-TBA,Adam Sandel,ONLINE,OL Download Syllabus for ELIT 22 50Z 
27627,ELIT 24,60Z,WL,"""Asian Pacific American Literature""",·······,TBA-TBA,Francesca Caparas,ONLINE,OL 
27269,ELIT 39,50Z,Open,"""Contemporary Literature""",·······,TBA-TBA,Kim Palmore,ONLINE,OL 
25401,ES 1,50Z,Open,"""Introduction to Environmental Studies""",·······,TBA-TBA,Alicia De Toro,ONLINE,OL 
25405,ES 1,51Z,Open,"""Introduction to Environmental Studies""",·······,TBA-TBA,William Roeder,ONLINE,$0OL 
25406,ES 1,52Z,Open,"""Introduction to Environmental Studies""",·······,TBA-TBA,William Roeder,ONLINE,$0OL 
27817,ES 1,53Z,WL,"""Introduction to Environmental Studies""",·······,TBA-TBA,William Roeder,ONLINE,$0OLLQ 
27827,ES 1,54Z,WL,"""Introduction to Environmental Studies""",·······,TBA-TBA,Joshua McCluskey,ONLINE,OLLQ 
26061,ES 2,50Z,Open,"""Introduction to Sustainability""",·······,TBA-TBA,Alicia De Toro,ONLINE,OL 
20942,ES 3,50Z,Full,"""Imagery of the Environment""",·······,TBA-TBA,Lynn Thorensen,ONLINE,OL 
27828,ES 3,51Z,WL,"""Imagery of the Environment""",·······,TBA-TBA,Lynn Thorensen,ONLINE,OLLQ 
27819,ES 4,01Z,WL,"""Energy, the Environment, and Society""",·······,TBA-TBA,William Roeder,ONLINE,$0OLLQ 
20917,ES 6,50Z,Full,"""Introduction to Environmental Law""",·······,TBA-TBA,Jeff Staudinger,ONLINE,OL 
21691,ES 50,50Z,Open,"""Introduction to Environmental Resource Management and Pollution Prevention""",·······,TBA-TBA,Jeff Staudinger,ONLINE,OL 
24813,ES 58,50Z,WL,"""Introduction to Green Building""",·······,TBA-TBA,Ronald Wheelehan,ONLINE,OLLQ 
26158,ES 61L,50Z,WL,"""Environmental Resource Management and Pollution Prevention Laboratory""",·······,TBA-TBA,Jeff Staudinger,ONLINE,OLLQ 
23739,ES 64,62Z,Open,"""Climate Change Mitigation and Adaptation in California""",·······,TBA-TBA,Jeff Staudinger,ONLINE,OL 
27119,ES 69,50Z,Open,"""Energy Management Within Your Organization""",·······,TBA-TBA,Ronald Wheelehan,ONLINE,OLLQ 
26796,ES 71,50Z,WL,"""Introduction to Sustainable Buildings""",·······,TBA-TBA,Massimo Maniaci,ONLINE,OLLQ 
24825,ES 82,62Z,WL,"""Project Management and Technical Report Writing for Energy Professionals""",·······,TBA-TBA,Ronald Wheelehan,ONLINE,OLLQ 
24824,ES 83,62Z,WL,"""Energy Management Return on Investment""",·······,TBA-TBA,Massimo Maniaci,ONLINE,OLLQ 
02508,ESCI 1,01Z,Open,"""Environmental Science""",·T·R···,01:30 PM-03:20 PM,Helian Ratsirarson,ONLINE,OL 
27832,ESCI 1,02Z,Full,"""Environmental Science""",·······,TBA-TBA,Helian Ratsirarson,ONLINE,OL 
27795,ESCI 1,50Z,WL,"""Environmental Science""",·······,TBA-TBA,Alicia De Toro,ONLINE,OLLQ 
27798,ESCI 1,51Z,Full,"""Environmental Science""",·······,TBA-TBA,Ryan Phillips,ONLINE,OL 
23135,ESCI 1,52Z,Open,"""Environmental Science""",·······,TBA-TBA,Ryan Phillips,ONLINE,OL 
24226,ESCI 1,53Z,Open,"""Environmental Science""",·······,TBA-TBA,Mary Poffenroth,ONLINE,OL Download Syllabus for ESCI 1 53Z 
27830,ESCI 1,54Z,WL,"""Environmental Science""",·······,TBA-TBA,Jana Sanders,ONLINE,OLLQ 
27829,ESCI 1,55Z,WL,"""Environmental Science""",·······,TBA-TBA,Helian Ratsirarson,ONLINE,OLLQ 
26149,ESCI 1,56Z,Full,"""Environmental Science""",·······,TBA-TBA,Mary Poffenroth,ONLINE,OL Download Syllabus for ESCI 1 56Z 
23313,ESL 5,50Z,Open,"""Advanced Composition and Reading""",M·W····,06:30 PM-08:45 PM,Kathleen Haven,ONLINE,OL 
00719,ESL 5,51Z,Open,"""Advanced Composition and Reading""",·······,TBA-TBA,Iva Tracey,ONLINE,OL 
21829,ESL 5,52Z,Open,"""Advanced Composition and Reading""",·······,TBA-TBA,Maria Marin,ONLINE,$LOL 
26691,ESL 244,50Z,WL,"""Intermediate English as a Second Language""",MTWR···,09:30 AM-11:45 AM,Webster Hamilton,ONLINE,OL Download Syllabus for ESL 244 50Z 
22162,ESL 251,50Z,WL,"""High Intermediate Listening and Speaking""",·T·····,08:30 AM-10:20 AM,Marcy Betlach,ONLINE,OL 
26694,ESL 251,51Z,WL,"""High Intermediate Listening and Speaking""",M······,06:30 PM-08:20 PM,Lynh Nguyen,ONLINE,OL Download Syllabus for ESL 251 51Z 
27993,ESL 251,52Z,Open,"""High Intermediate Listening and Speaking""",·T·····,06:30 PM-08:20 PM,Daisy Lee,ONLINE,OL 
26695,ESL 255,50Z,Open,"""High Intermediate Grammar, Writing and Reading""",M·W····,08:30 AM-11:20 AM,Pati Carobus,ONLINE,OL Download Syllabus for ESL 255 50Z 
26698,ESL 255,51Z,Open,"""High Intermediate Grammar, Writing and Reading""",·T·R···,06:30 PM-09:20 PM,Cheri Newman,ONLINE,OL Download Syllabus for ESL 255 51Z 
27997,ESL 255,52Z,Open,"""High Intermediate Grammar, Writing and Reading""",M·W····,06:30 PM-09:20 PM,Daniel Tung,ONLINE,OL Download Syllabus for ESL 255 52Z 
27204,ESL 260B,50Z,Open,"""American English Pronunciation 2""",M·W····,06:30 PM-07:45 PM,Linda Yee,ONLINE,OL Download Syllabus for ESL 260B 50Z 
27204,ESL 260B,50Z,Open,"""American English Pronunciation 2""",M·W····,06:30 PM-07:45 PM,Linda Yee,ONLINE,OL Download Syllabus for ESL 260B 50Z 
24571,ESL 261,50Z,WL,"""Low Advanced Listening and Speaking""",·T·····,08:30 AM-10:20 AM,Iris Thot-Johnson,ONLINE,OL Download Syllabus for ESL 261 50Z 
24571,ESL 261,50Z,WL,"""Low Advanced Listening and Speaking""",·T·····,08:30 AM-10:20 AM,Iris Thot-Johnson,ONLINE,OL Download Syllabus for ESL 261 50Z 
23168,ESL 261,51Z,Open,"""Low Advanced Listening and Speaking""",M······,06:30 PM-08:20 PM,Marcy Betlach,ONLINE,OL 
27995,ESL 261,52Z,WL,"""Low Advanced Listening and Speaking""",·T·····,06:30 PM-08:20 PM,Gretchen Himes,ONLINE,OL 
26704,ESL 265,50Z,Open,"""Low Advanced Grammar, Writing and Reading""",M·W····,08:30 AM-11:20 AM,Ebru Goksel-Demir,ONLINE,OL 
26708,ESL 265,51Z,Open,"""Low Advanced Grammar, Writing and Reading""",·T·R···,06:30 PM-09:20 PM,Lisa Kohnhorst,ONLINE,OL Download Syllabus for ESL 265 51Z 
28001,ESL 265,52Z,WL,"""Low Advanced Grammar, Writing and Reading""",M·W····,06:30 PM-09:20 PM,Lucinda Cabral,ONLINE,OL 
25662,ESL 272,50Z,Open,"""Advanced Reading and Vocabulary""",M·W····,06:30 PM-08:20 PM,Maria Marin,ONLINE,OL 
22536,ESL 272,51Z,Open,"""Advanced Reading and Vocabulary""",··W····,01:30 PM-03:20 PM,Maria Marin,ONLINE,OL 
24613,ESL 272,52Z,Open,"""Advanced Reading and Vocabulary""",·······,TBA-TBA,Iva Tracey,ONLINE,OL 
23177,ESL 272,53Z,WL,"""Advanced Reading and Vocabulary""",·······,TBA-TBA,Linda Yee,ONLINE,OL Download Syllabus for ESL 272 53Z 
23177,ESL 272,53Z,WL,"""Advanced Reading and Vocabulary""",·······,TBA-TBA,Linda Yee,ONLINE,OL Download Syllabus for ESL 272 53Z 
02556,ESL 273,50Z,WL,"""Introduction to the Essay""",·T·R···,06:30 PM-08:20 PM,Lucinda Cabral,ONLINE,OL 
24612,ESL 273,51Z,WL,"""Introduction to the Essay""",··W····,01:30 PM-03:20 PM,Katelyn Endow,ONLINE,OL 
26710,ESL 273,52Z,WL,"""Introduction to the Essay""",·······,TBA-TBA,Katelyn Endow,ONLINE,OL 
27999,ESL 273,53Z,Open,"""Introduction to the Essay""",·······,TBA-TBA,Cheri Newman,ONLINE,OL Download Syllabus for ESL 273 53Z 
26711,ESL 274,50Z,Open,"""Advanced Grammar and Proofreading for Writers""",M·W····,01:30 PM-02:45 PM,Pati Carobus,ONLINE,OL Download Syllabus for ESL 274 50Z 
26714,ESL 444,50Z,Open,"""Intermediate English as a Second Language""",MTWR···,09:30 AM-11:45 AM,Webster Hamilton,ONLINE,OL Download Syllabus for ESL 444 50Z 
26717,ESL 451,50Z,WL,"""High Intermediate Listening and Speaking""",·T·····,08:30 AM-10:20 AM,Marcy Betlach,ONLINE,OL 
26720,ESL 451,51Z,WL,"""High Intermediate Listening and Speaking""",M······,06:30 PM-08:20 PM,Lynh Nguyen,ONLINE,OL Download Syllabus for ESL 451 51Z 
27994,ESL 451,52Z,WL,"""High Intermediate Listening and Speaking""",·T·····,06:30 PM-08:20 PM,Daisy Lee,ONLINE,OL 
26721,ESL 455,50Z,WL,"""High Intermediate Grammar, Writing and Reading""",M·W····,08:30 AM-11:20 AM,Pati Carobus,ONLINE,OL Download Syllabus for ESL 455 50Z 
26724,ESL 455,51Z,Open,"""High Intermediate Grammar, Writing and Reading""",·T·R···,06:30 PM-09:20 PM,Cheri Newman,ONLINE,OL Download Syllabus for ESL 455 51Z 
27998,ESL 455,52Z,Open,"""High Intermediate Grammar, Writing and Reading""",M·W····,06:30 PM-09:20 PM,Daniel Tung,ONLINE,OL Download Syllabus for ESL 455 52Z 
27207,ESL 460B,50Z,WL,"""American English Pronunciation 2""",M·W····,06:30 PM-07:45 PM,Linda Yee,ONLINE,OL Download Syllabus for ESL 460B 50Z 
27207,ESL 460B,50Z,WL,"""American English Pronunciation 2""",M·W····,06:30 PM-07:45 PM,Linda Yee,ONLINE,OL Download Syllabus for ESL 460B 50Z 
26725,ESL 461,50Z,WL,"""Low Advanced Listening and Speaking""",·T·····,08:30 AM-10:20 AM,Iris Thot-Johnson,ONLINE,OL Download Syllabus for ESL 461 50Z 
26725,ESL 461,50Z,WL,"""Low Advanced Listening and Speaking""",·T·····,08:30 AM-10:20 AM,Iris Thot-Johnson,ONLINE,OL Download Syllabus for ESL 461 50Z 
26729,ESL 461,51Z,Open,"""Low Advanced Listening and Speaking""",M······,06:30 PM-08:20 PM,Marcy Betlach,ONLINE,OL 
27996,ESL 461,52Z,WL,"""Low Advanced Listening and Speaking""",·T·····,06:30 PM-08:20 PM,Gretchen Himes,ONLINE,OL 
26730,ESL 465,50Z,Open,"""Low Advanced Grammar, Writing and Reading""",M·W····,08:30 AM-11:20 AM,Ebru Goksel-Demir,ONLINE,OL 
26734,ESL 465,51Z,Open,"""Low Advanced Grammar, Writing and Reading""",·T·R···,06:30 PM-09:20 PM,Lisa Kohnhorst,ONLINE,OL Download Syllabus for ESL 465 51Z 
28002,ESL 465,52Z,Open,"""Low Advanced Grammar, Writing and Reading""",M·W····,06:30 PM-09:20 PM,Lucinda Cabral,ONLINE,OL 
26739,ESL 472,50Z,Open,"""Advanced Reading and Vocabulary""",M·W····,06:30 PM-08:20 PM,Maria Marin,ONLINE,OL 
26738,ESL 472,52Z,Open,"""Advanced Reading and Vocabulary""",·······,TBA-TBA,Iva Tracey,ONLINE,OL 
26740,ESL 472,53Z,Open,"""Advanced Reading and Vocabulary""",·······,TBA-TBA,Linda Yee,ONLINE,OL Download Syllabus for ESL 472 53Z 
26740,ESL 472,53Z,Open,"""Advanced Reading and Vocabulary""",·······,TBA-TBA,Linda Yee,ONLINE,OL Download Syllabus for ESL 472 53Z 
27921,ESL 472,54Z,Open,"""Advanced Reading and Vocabulary""",··W····,01:30 PM-03:20 PM,Maria Marin,ONLINE,OL 
26745,ESL 473,50Z,Open,"""Introduction to the Essay""",·T·R···,06:30 PM-08:20 PM,Lucinda Cabral,ONLINE,OL 
26743,ESL 473,51Z,Open,"""Introduction to the Essay""",··W····,01:30 PM-03:20 PM,Katelyn Endow,ONLINE,OL 
26746,ESL 473,52Z,Open,"""Introduction to the Essay""",·······,TBA-TBA,Katelyn Endow,ONLINE,OL 
28000,ESL 473,53Z,Open,"""Introduction to the Essay""",·······,TBA-TBA,Cheri Newman,ONLINE,OL Download Syllabus for ESL 473 53Z 
27209,ESL 474,50Z,Open,"""Advanced Grammar and Proofreading for Writers""",M·W····,01:30 PM-02:45 PM,Pati Carobus,ONLINE,OL Download Syllabus for ESL 474 50Z 
25493,EWRT 1A,52Z,Open,"""Composition and Reading""",·······,TBA-TBA,Brian Malone,ONLINE,OL Download Syllabus for EWRT 1A 52Z 
25494,EWRT 1A,53Z,Open,"""Composition and Reading""",·······,TBA-TBA,Maryalice Bonilla,ONLINE,OL 
25495,EWRT 1A,54Z,WL,"""Composition and Reading""",·······,TBA-TBA,Mary Diehl,ONLINE,OL Download Syllabus for EWRT 1A 54Z 
25496,EWRT 1A,55Z,Open,"""Composition and Reading""",·······,TBA-TBA,Anne Marie Waldsmith,ONLINE,OL 
25497,EWRT 1A,56Z,WL,"""Composition and Reading""",·······,TBA-TBA,Raymond Brennan,ONLINE,OL Download Syllabus for EWRT 1A 56Z 
25498,EWRT 1A,57Z,Open,"""Composition and Reading""",·······,TBA-TBA,Randie Wann,ONLINE,OL Download Syllabus for EWRT 1A 57Z 
25499,EWRT 1A,58Z,Open,"""Composition and Reading""",·······,TBA-TBA,John Gravener,ONLINE,OL 
25139,EWRT 1A,59Z,Open,"""Composition and Reading""",·······,TBA-TBA,Richard Ferrie,ONLINE,OL 
22581,EWRT 1A,60Z,WL,"""Composition and Reading""",·······,TBA-TBA,Margaret Hanzimanolis,ONLINE,OL Download Syllabus for EWRT 1A 60Z 
22000,EWRT 1A,61Z,WL,"""Composition and Reading""",·······,TBA-TBA,Amy Leonard,ONLINE,OL 
00878,EWRT 1A,62Z,WL,"""Composition and Reading""",·······,TBA-TBA,Sarah Lisha,ONLINE,OL 
00880,EWRT 1A,63Z,Open,"""Composition and Reading""",·······,TBA-TBA,Ruth Trimble,ONLINE,OL Download Syllabus for EWRT 1A 63Z 
00880,EWRT 1A,63Z,Open,"""Composition and Reading""",·······,TBA-TBA,Ruth Trimble,ONLINE,OL Download Syllabus for EWRT 1A 63Z 
00874,EWRT 1A,64Z,Open,"""Composition and Reading""",·······,TBA-TBA,Maryalice Bonilla,ONLINE,OL 
27282,EWRT 1A,65Z,Open,"""Composition and Reading""",·······,TBA-TBA,Alexis Cattivera,ONLINE,OL Download Syllabus for EWRT 1A 65Z 
24573,EWRT 1A,67Z,Open,"""Composition and Reading""",·······,TBA-TBA,Marc Coronado,ONLINE,OL 
25090,EWRT 1A,68Z,Open,"""Composition and Reading""",·······,TBA-TBA,Margaret Hanzimanolis,ONLINE,OL Download Syllabus for EWRT 1A 68Z 
25663,EWRT 1A,69Z,WL,"""Composition and Reading""",·······,TBA-TBA,Rebecca Board Liljenstolpe,ONLINE,OL 
26979,EWRT 1A,70Z,WL,"""Composition and Reading""",·······,TBA-TBA,Lydia Hearn,ONLINE,OL 
27271,EWRT 1A,71Z,WL,"""Composition and Reading""",·······,TBA-TBA,Raymond Brennan,ONLINE,OL Download Syllabus for EWRT 1A 71Z 
27272,EWRT 1A,72Z,Open,"""Composition and Reading""",·······,TBA-TBA,Deborah Garfinkle,ONLINE,OL Download Syllabus for EWRT 1A 72Z 
27273,EWRT 1A,73Z,Open,"""Composition and Reading""",·······,TBA-TBA,Randie Wann,ONLINE,OL Download Syllabus for EWRT 1A 73Z 
27274,EWRT 1A,74Z,WL,"""Composition and Reading""",·······,TBA-TBA,Charles Gray,ONLINE,OL Download Syllabus for EWRT 1A 74Z 
27275,EWRT 1A,75Z,WL,"""Composition and Reading""",·······,TBA-TBA,Husne Jahan,ONLINE,OL Download Syllabus for EWRT 1A 75Z 
27276,EWRT 1A,76Z,WL,"""Composition and Reading""",·······,TBA-TBA,John Gravener,ONLINE,OL 
27277,EWRT 1A,77Z,Open,"""Composition and Reading""",·······,TBA-TBA,Alex Giardino,ONLINE,OL Download Syllabus for EWRT 1A 77Z 
27278,EWRT 1A,78Z,WL,"""Composition and Reading""",·······,TBA-TBA,Nga Huynh,ONLINE,OL 
27279,EWRT 1A,79Z,WL,"""Composition and Reading""",·······,TBA-TBA,Amy Leonard,ONLINE,OL 
27280,EWRT 1A,80Z,Open,"""Composition and Reading""",·······,TBA-TBA,Yeganeh Modirzadeh,ONLINE,OL Download Syllabus for EWRT 1A 80Z 
27281,EWRT 1A,81Z,Open,"""Composition and Reading""",·······,TBA-TBA,Diane Furlan,ONLINE,OL 
27877,EWRT 1AH,77Z,Open,"""Composition and Reading - HONORS""",·······,TBA-TBA,Alex Giardino,ONLINE,OL Download Syllabus for EWRT 1AH 77Z 
00892,EWRT 1B,50Z,Open,"""Reading, Writing and Research""",·······,TBA-TBA,Rebecca Board Liljenstolpe,ONLINE,OL 
00910,EWRT 1B,51Z,Open,"""Reading, Writing and Research""",·······,TBA-TBA,Lauren Gordon,ONLINE,OL 
26816,EWRT 2,11Z,Open,"""Critical Reading, Writing and Thinking""",·T·R···,06:30 PM-07:20 PM,Adam Sandel,ONLINE,OL Download Syllabus for EWRT 2 11Z 
00926,EWRT 2,50Z,Open,"""Critical Reading, Writing and Thinking""",·······,TBA-TBA,Alex Giardino,ONLINE,OL Download Syllabus for EWRT 2 50Z 
00929,EWRT 2,51Z,Open,"""Critical Reading, Writing and Thinking""",·······,TBA-TBA,Alex Giardino,ONLINE,OL Download Syllabus for EWRT 2 51Z 
02689,EWRT 2,53Z,WL,"""Critical Reading, Writing and Thinking""",·······,TBA-TBA,Amy Leonard,ONLINE,OL 
