CRN,Course,Sec,Seats,Title,Days,Times,Instructor,Loc,Class Info
24216,ARTS 1A,62Z,WL,"""Introduction to the Visual Arts""",·······,TBA-TBA,Elizabeth Mjelde,ONLINE,OL Download Syllabus for ARTS 1A 62Z 
24443,ARTS 1A,63Z,WL,"""Introduction to the Visual Arts""",·······,TBA-TBA,Elizabeth Mjelde,ONLINE,OL Download Syllabus for ARTS 1A 63Z 
25463,ARTS 1A,64Z,WL,"""Introduction to the Visual Arts""",·······,TBA-TBA,Yael Karmi,ONLINE,OL Download Syllabus for ARTS 1A 64Z 
21198,ARTS 1A,65Z,WL,"""Introduction to the Visual Arts""",·······,TBA-TBA,Deborah Pasturel,ONLINE,OL Download Syllabus for ARTS 1A 65Z 
00120,ARTS 2A,50Z,WL,"""History of Art: Europe from Prehistory through Early Christianity""",·······,TBA-TBA,Deborah Pasturel,ONLINE,OL Download Syllabus for ARTS 2A 50Z 
00121,ARTS 2B,50Z,WL,"""History of Art: Europe During the Middle Ages and the Renaissance""",·······,TBA-TBA,Linda Becerril,ONLINE,OL Download Syllabus for ARTS 2B 50Z 
25978,ARTS 2C,65Z,WL,"""History of Art: Europe from the Baroque Period Through Impressionism""",·······,TBA-TBA,Elizabeth Mjelde,ONLINE,OL Download Syllabus for ARTS 2C 65Z 
00123,ARTS 2D,50Z,Open,"""History of Art: Europe and the United States from Post-Impressionism to the Present""",·······,TBA-TBA,Linda Becerril,ONLINE,OL Download Syllabus for ARTS 2D 50Z 
00127,ARTS 2F,61Z,Open,"""History of Art (Multicultural Arts in the United States)""",·······,TBA-TBA,Catie Cadge-Moore,ONLINE,OL 
02534,ARTS 2F,62Z,Open,"""History of Art (Multicultural Arts in the United States)""",·······,TBA-TBA,Catie Cadge-Moore,ONLINE,OL 
25791,ARTS 2G,61Z,Open,"""History of Art: Arts of Asia""",·······,TBA-TBA,So Kam Lee,ONLINE,OL 
27624,ARTS 2J,60Z,WL,"""History of Art: Arts of Africa, Oceania and Native North America""",·······,TBA-TBA,Catie Cadge-Moore,ONLINE,OL 
25297,ARTS 3TC,50Z,WL,"""Women and Art""",·······,TBA-TBA,Natasha Kleit,ONLINE,OL Download Syllabus for ARTS 3TC 50Z 
22909,ARTS 4A,52Z,WL,"""Beginning Drawing""",·······,TBA-TBA,Masako Miki,ONLINE,OL Download Syllabus for ARTS 4A 52Z 
22908,ARTS 4A,53Z,Open,"""Beginning Drawing""",·······,TBA-TBA,Masako Miki,ONLINE,OL Download Syllabus for ARTS 4A 53Z 
25422,ARTS 4A,54Z,Open,"""Beginning Drawing""",·······,TBA-TBA,Meiru Huang,ONLINE,OL Download Syllabus for ARTS 4A 54Z 
27644,ARTS 4B,01Z,WL,"""Intermediate Drawing""",·······,TBA-TBA,Meiru Huang,ONLINE,OL Download Syllabus for ARTS 4B 01Z 
22913,ARTS 8,51Z,WL,"""Two-Dimensional Design""",·······,TBA-TBA,Eugene Rodriguez,ONLINE,OL Download Syllabus for ARTS 8 51Z 
22917,ARTS 12,50Z,Open,"""Design and Color""",·······,TBA-TBA,Eugene Rodriguez,ONLINE,OL Download Syllabus for ARTS 12 50Z 
